,A,K,B,AB,C,F,D,H,E,V,M,I,AA,G,J,R,Q,U,W,L,Z,AC,S,X,T,P,AD,O,Y,N
I,7.0,6.0,6.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,0.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0
AA,4.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,5.0,3.0,5.0,5.0,0.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
G,6.0,5.0,5.0,4.0,4.0,3.0,1.0,3.0,5.0,3.0,5.0,5.0,4.0,0.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,1.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0
J,6.0,5.0,5.0,4.0,4.0,3.0,1.0,3.0,5.0,3.0,5.0,5.0,4.0,2.0,0.0,2.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0
R,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Q,6.0,5.0,5.0,4.0,4.0,3.0,3.0,1.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,2.0,0.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,3.0,3.0,5.0
U,6.0,5.0,5.0,4.0,4.0,3.0,3.0,1.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,1.0,1.0,5.0
W,6.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
L,5.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,6.0,4.0,6.0,6.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,0.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Z,5.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,6.0,4.0,6.0,6.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
AC,7.0,6.0,6.0,5.0,5.0,4.0,2.0,4.0,6.0,4.0,6.0,6.0,5.0,1.0,3.0,3.0,5.0,5.0,5.0,6.0,6.0,0.0,2.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0
S,7.0,6.0,6.0,5.0,5.0,4.0,2.0,4.0,6.0,4.0,6.0,6.0,5.0,1.0,3.0,3.0,5.0,5.0,5.0,6.0,6.0,2.0,0.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0
X,7.0,6.0,6.0,5.0,5.0,4.0,2.0,4.0,6.0,4.0,6.0,6.0,5.0,3.0,1.0,3.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,0.0,2.0,6.0,6.0,6.0,6.0,6.0
T,7.0,6.0,6.0,5.0,5.0,4.0,2.0,4.0,6.0,4.0,6.0,6.0,5.0,3.0,1.0,3.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,2.0,0.0,6.0,6.0,6.0,6.0,6.0
P,7.0,6.0,6.0,5.0,5.0,4.0,4.0,2.0,6.0,4.0,6.0,6.0,5.0,5.0,5.0,3.0,1.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,2.0,4.0,4.0,6.0
AD,7.0,6.0,6.0,5.0,5.0,4.0,4.0,2.0,6.0,4.0,6.0,6.0,5.0,5.0,5.0,3.0,1.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,0.0,4.0,4.0,6.0
O,7.0,6.0,6.0,5.0,5.0,4.0,4.0,2.0,6.0,4.0,6.0,6.0,5.0,5.0,5.0,3.0,3.0,1.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,0.0,2.0,6.0
Y,7.0,6.0,6.0,5.0,5.0,4.0,4.0,2.0,6.0,4.0,6.0,6.0,5.0,5.0,5.0,3.0,3.0,1.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,2.0,0.0,6.0
N,7.0,6.0,6.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0
