,A,B,H,AC,T,Q,D,AA,M,C,L,N,O,I,G,E,AB,J,X,K,W,V,S,P,R,F,AD,Y,Z,U
L,7.0,3.0,8.0,8.0,8.0,6.0,4.0,4.0,2.0,4.0,0.0,7.0,5.0,7.0,3.0,5.0,1.0,8.0,6.0,8.0,8.0,4.0,6.0,2.0,7.0,5.0,8.0,8.0,6.0,6.0
N,2.0,6.0,1.0,3.0,3.0,1.0,3.0,7.0,5.0,7.0,7.0,0.0,2.0,4.0,4.0,6.0,6.0,1.0,3.0,5.0,5.0,5.0,7.0,7.0,4.0,6.0,5.0,5.0,7.0,7.0
O,2.0,4.0,3.0,3.0,3.0,1.0,1.0,5.0,3.0,5.0,5.0,2.0,0.0,2.0,2.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,5.0,5.0,2.0,4.0,3.0,3.0,5.0,5.0
I,4.0,6.0,5.0,5.0,5.0,3.0,3.0,7.0,5.0,7.0,7.0,4.0,2.0,0.0,4.0,6.0,6.0,5.0,1.0,1.0,1.0,5.0,7.0,7.0,2.0,6.0,3.0,3.0,7.0,7.0
G,4.0,2.0,5.0,5.0,5.0,3.0,1.0,3.0,1.0,3.0,3.0,4.0,2.0,4.0,0.0,2.0,2.0,5.0,3.0,5.0,5.0,1.0,3.0,3.0,4.0,2.0,5.0,5.0,3.0,3.0
E,6.0,4.0,7.0,7.0,7.0,5.0,3.0,5.0,3.0,5.0,5.0,6.0,4.0,6.0,2.0,0.0,4.0,7.0,5.0,7.0,7.0,1.0,1.0,5.0,6.0,2.0,7.0,7.0,3.0,3.0
AB,6.0,2.0,7.0,7.0,7.0,5.0,3.0,3.0,1.0,3.0,1.0,6.0,4.0,6.0,2.0,4.0,0.0,7.0,5.0,7.0,7.0,3.0,5.0,1.0,6.0,4.0,7.0,7.0,5.0,5.0
J,3.0,7.0,2.0,4.0,4.0,2.0,4.0,8.0,6.0,8.0,8.0,1.0,3.0,5.0,5.0,7.0,7.0,0.0,4.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,6.0,6.0,8.0,8.0
X,3.0,5.0,4.0,4.0,4.0,2.0,2.0,6.0,4.0,6.0,6.0,3.0,1.0,1.0,3.0,5.0,5.0,4.0,0.0,2.0,2.0,4.0,6.0,6.0,1.0,5.0,2.0,2.0,6.0,6.0
K,5.0,7.0,6.0,6.0,6.0,4.0,4.0,8.0,6.0,8.0,8.0,5.0,3.0,1.0,5.0,7.0,7.0,6.0,2.0,0.0,2.0,6.0,8.0,8.0,3.0,7.0,4.0,4.0,8.0,8.0
W,5.0,7.0,6.0,6.0,6.0,4.0,4.0,8.0,6.0,8.0,8.0,5.0,3.0,1.0,5.0,7.0,7.0,6.0,2.0,2.0,0.0,6.0,8.0,8.0,3.0,7.0,4.0,4.0,8.0,8.0
V,5.0,3.0,6.0,6.0,6.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,3.0,5.0,1.0,1.0,3.0,6.0,4.0,6.0,6.0,0.0,2.0,4.0,5.0,1.0,6.0,6.0,2.0,2.0
S,7.0,5.0,8.0,8.0,8.0,6.0,4.0,6.0,4.0,6.0,6.0,7.0,5.0,7.0,3.0,1.0,5.0,8.0,6.0,8.0,8.0,2.0,0.0,6.0,7.0,3.0,8.0,8.0,4.0,4.0
P,7.0,3.0,8.0,8.0,8.0,6.0,4.0,4.0,2.0,4.0,2.0,7.0,5.0,7.0,3.0,5.0,1.0,8.0,6.0,8.0,8.0,4.0,6.0,0.0,7.0,5.0,8.0,8.0,6.0,6.0
R,4.0,6.0,5.0,5.0,5.0,3.0,3.0,7.0,5.0,7.0,7.0,4.0,2.0,2.0,4.0,6.0,6.0,5.0,1.0,3.0,3.0,5.0,7.0,7.0,0.0,6.0,1.0,1.0,7.0,7.0
F,6.0,4.0,7.0,7.0,7.0,5.0,3.0,5.0,3.0,5.0,5.0,6.0,4.0,6.0,2.0,2.0,4.0,7.0,5.0,7.0,7.0,1.0,3.0,5.0,6.0,0.0,7.0,7.0,1.0,1.0
AD,5.0,7.0,6.0,6.0,6.0,4.0,4.0,8.0,6.0,8.0,8.0,5.0,3.0,3.0,5.0,7.0,7.0,6.0,2.0,4.0,4.0,6.0,8.0,8.0,1.0,7.0,0.0,2.0,8.0,8.0
Y,5.0,7.0,6.0,6.0,6.0,4.0,4.0,8.0,6.0,8.0,8.0,5.0,3.0,3.0,5.0,7.0,7.0,6.0,2.0,4.0,4.0,6.0,8.0,8.0,1.0,7.0,2.0,0.0,8.0,8.0
Z,7.0,5.0,8.0,8.0,8.0,6.0,4.0,6.0,4.0,6.0,6.0,7.0,5.0,7.0,3.0,3.0,5.0,8.0,6.0,8.0,8.0,2.0,4.0,6.0,7.0,1.0,8.0,8.0,0.0,2.0
U,7.0,5.0,8.0,8.0,8.0,6.0,4.0,6.0,4.0,6.0,6.0,7.0,5.0,7.0,3.0,3.0,5.0,8.0,6.0,8.0,8.0,2.0,4.0,6.0,7.0,1.0,8.0,8.0,2.0,0.0
