,J,A,C,G,AB,E,B,Q,F,D,U,L,K,X,T,R,O,M,AC,Y,H,AD,I,AA,P,N,S,Z,W,V
M,2.0,3.0,3.0,3.0,1.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,0.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,4.0,4.0,2.0,2.0
AC,2.0,5.0,5.0,5.0,1.0,7.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0,6.0,6.0,4.0,2.0,0.0,6.0,6.0,5.0,5.0,3.0,3.0,5.0,6.0,6.0,4.0,4.0
Y,6.0,5.0,5.0,3.0,5.0,1.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0,4.0,4.0,2.0,4.0,6.0,0.0,2.0,5.0,5.0,3.0,5.0,1.0,6.0,6.0,6.0,6.0
H,6.0,5.0,5.0,3.0,5.0,3.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0,4.0,4.0,2.0,4.0,6.0,2.0,0.0,5.0,5.0,3.0,5.0,1.0,6.0,6.0,6.0,6.0
AD,5.0,2.0,4.0,4.0,4.0,6.0,3.0,1.0,5.0,3.0,1.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,0.0,4.0,2.0,4.0,4.0,1.0,5.0,5.0,5.0
I,5.0,4.0,2.0,4.0,4.0,6.0,5.0,5.0,1.0,5.0,3.0,3.0,3.0,1.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,0.0,2.0,4.0,4.0,5.0,1.0,5.0,5.0
AA,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0
P,3.0,4.0,4.0,4.0,2.0,6.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,1.0,3.0,5.0,5.0,4.0,4.0,2.0,0.0,4.0,5.0,5.0,1.0,1.0
N,5.0,4.0,4.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,1.0,3.0,5.0,1.0,1.0,4.0,4.0,2.0,4.0,0.0,5.0,5.0,5.0,5.0
S,6.0,3.0,5.0,5.0,5.0,7.0,4.0,2.0,6.0,4.0,2.0,6.0,6.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,1.0,5.0,3.0,5.0,5.0,0.0,6.0,6.0,6.0
Z,6.0,5.0,3.0,5.0,5.0,7.0,6.0,6.0,2.0,6.0,4.0,4.0,4.0,2.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,5.0,1.0,3.0,5.0,5.0,6.0,0.0,6.0,6.0
W,4.0,5.0,5.0,5.0,3.0,7.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0,6.0,6.0,4.0,2.0,4.0,6.0,6.0,5.0,5.0,3.0,1.0,5.0,6.0,6.0,0.0,2.0
V,4.0,5.0,5.0,5.0,3.0,7.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0,6.0,6.0,4.0,2.0,4.0,6.0,6.0,5.0,5.0,3.0,1.0,5.0,6.0,6.0,2.0,0.0
