,A,B,G,F,Z,AD,E,C,H,D,I,N,V,Q,J,AB,L,M,U,P,K,AC,T,Y,S,O,R,W,AA,X
K,5.0,3.0,5.0,6.0,4.0,6.0,6.0,2.0,4.0,2.0,4.0,4.0,6.0,6.0,5.0,1.0,3.0,5.0,6.0,6.0,0.0,4.0,6.0,6.0,6.0,7.0,5.0,5.0,6.0,6.0
AC,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,1.0,3.0,4.0,2.0,4.0,0.0,2.0,4.0,4.0,5.0,1.0,1.0,2.0,2.0
T,5.0,5.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,5.0,5.0,3.0,5.0,6.0,4.0,6.0,2.0,0.0,6.0,6.0,7.0,3.0,1.0,4.0,2.0
Y,5.0,5.0,3.0,6.0,4.0,6.0,6.0,6.0,6.0,4.0,6.0,2.0,4.0,4.0,5.0,5.0,3.0,1.0,6.0,6.0,6.0,4.0,6.0,0.0,2.0,7.0,5.0,5.0,6.0,6.0
S,5.0,5.0,3.0,6.0,4.0,6.0,6.0,6.0,6.0,4.0,6.0,2.0,4.0,4.0,5.0,5.0,3.0,1.0,6.0,6.0,6.0,4.0,6.0,2.0,0.0,7.0,5.0,5.0,6.0,6.0
O,4.0,6.0,6.0,3.0,3.0,5.0,5.0,7.0,7.0,5.0,7.0,5.0,7.0,7.0,2.0,6.0,4.0,6.0,1.0,7.0,7.0,5.0,7.0,7.0,7.0,0.0,6.0,6.0,7.0,7.0
R,4.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,4.0,2.0,4.0,5.0,1.0,5.0,1.0,3.0,5.0,5.0,6.0,0.0,2.0,1.0,3.0
W,4.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,4.0,2.0,4.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,6.0,2.0,0.0,3.0,1.0
AA,5.0,5.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,5.0,5.0,3.0,5.0,6.0,2.0,6.0,2.0,4.0,6.0,6.0,7.0,1.0,3.0,0.0,4.0
X,5.0,5.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,5.0,5.0,3.0,5.0,6.0,4.0,6.0,2.0,2.0,6.0,6.0,7.0,3.0,1.0,4.0,0.0
